den	base	label	type	pre_len	period_len	pre	period
39	8	OCT	R	0	4		0151
39	16	HEX	R	0	3		069
40	10	DEC	T	3	0	025	
40	2	BIN	R	3	4	000	0011
40	8	OCT	R	1	4	0	1463
40	16	HEX	R	1	1	0	6
41	10	DEC	R	0	5		02439
41	2	BIN	R	0	20		00000110001111100111
41	8	OCT	R	0	20		01437160307634061747
41	16	HEX	R	0	5		063E7
42	10	DEC	R	1	6	0	238095
42	2	BIN	R	1	6	0	000011
42	8	OCT	R	1	2	0	14
42	16	HEX	R	1	3	0	618
43	10	DEC	R	0	21		023255813953488372093
43	2	BIN	R	0	14		00000101111101
43	8	OCT	R	0	14		01372027640575
43	16	HEX	R	0	7		05F417D
44	10	DEC	R	2	2	02	27
44	2	BIN	R	2	10	00	0001011101
44	8	OCT	R	1	10	0	1350564272
44	16	HEX	R	1	5	0	5D174
45	10	DEC	R	1	1	0	2
45	2	BIN	R	0	12		000001011011
45	8	OCT	R	0	4		0133
45	16	HEX	R	0	3		05B
46	10	DEC	R	1	22	0	2173913043478260869565
46	2	BIN	R	1	11	0	00001011001
46	8	OCT	R	1	11	0	13102620544
46	16	HEX	R	1	11	0	590B21642C8
47	10	DEC	R	0	46		0212765957446808510638297872340425531914893617
47	2	BIN	R	0	23		00000101011100100110001
47	8	OCT	R	0	23		01271142025623040534461
47	16	HEX	R	0	23		0572620AE4C415C9882B931
48	10	DEC	R	4	1	0208	3
48	2	BIN	R	4	2	0000	01
48	8	OCT	R	2	2	01	25
48	16	HEX	R	1	1	0	5
49	10	DEC	R	0	42		020408163265306122448979591836734693877551
49	2	BIN	R	0	21		000001010011100101111
49	8	OCT	R	0	7		0123457
49	16	HEX	R	0	21		05397829CBC14E5E0A72F
50	10	DEC	T	2	0	02	
50	2	BIN	R	1	20	0	00001010001111010111
50	8	OCT	R	1	20	0	12172702436560507534
50	16	HEX	R	1	5	0	51EB8
51	10	DEC	R	0	16		0196078431372549
51	2	BIN	R	0	8		00000101
51	8	OCT	R	0	8		01202405
51	16	HEX	R	0	2		05
52	10	DEC	R	2	6	01	923076
52	2	BIN	R	2	12	00	000100111011
52	8	OCT	R	1	4	0	1166
52	16	HEX	R	1	3	0	4EC
53	10	DEC	R	0	13		0188679245283
53	2	BIN	R	0	52		0000010011010100100001110011111011001010110111100011
53	8	OCT	R	0	52		0115220717545336140465103476625570602324416373126743
53	16	HEX	R	0	13		04D4873ECADE3
54	10	DEC	R	1	3	0	185
54	2	BIN	R	1	18	0	000010010111101101
54	8	OCT	R	1	6	0	113664
54	16	HEX	R	1	9	0	4BDA12F68
55	10	DEC	R	1	2	0	18
55	2	BIN	R	0	20		00000100101001111001
55	8	OCT	R	0	20		01123620224744045171
55	16	HEX	R	0	5		04A79
56	10	DEC	R	3	6	017	857142
56	2	BIN	R	3	3	000	001
56	8	OCT	R	1	1	0	1
56	16	HEX	R	1	3	0	492
57	10	DEC	R	0	18		017543859649122807
57	2	BIN	R	0	18		000001000111110111
57	8	OCT	R	0	6		010767
57	16	HEX	R	0	9		047DC11F7
58	10	DEC	R	1	28	0	1724137931034482758620689655
58	2	BIN	R	1	28	0	0000100011010011110111001011
58	8	OCT	R	1	28	0	1064756260432367130215173454
58	16	HEX	R	1	7	0	469EE58
59	10	DEC	R	0	58		0169491525423728813559322033898305084745762711864406779661
59	2	BIN	R	0	58		0000010001010110110001111001011111011101010010011100001101
59	8	OCT	R	0	58		0105330745756511606404255436276724470320212661713735223415
59	16	HEX	R	0	29		0456C797DD49C34115B1E5F75270D
60	10	DEC	R	2	1	01	6
60	2	BIN	R	2	4	00	0001
60	8	OCT	R	1	4	0	1042
60	16	HEX	R	1	1	0	4
61	10	DEC	R	0	60		016393442622950819672131147540983606557377049180327868852459
61	2	BIN	R	0	60		000001000011001001011100010100111110111100110110100011101011
61	8	OCT	R	0	20		01031134247674664353
61	16	HEX	R	0	15		04325C53EF368EB
62	10	DEC	R	1	15	0	161290322580645
62	2	BIN	R	1	5	0	00001
62	8	OCT	R	1	5	0	10204
62	16	HEX	R	1	5	0	42108
63	10	DEC	R	0	6		015873
63	2	BIN	R	0	6		000001
63	8	OCT	R	0	2		01
63	16	HEX	R	0	3		041
64	10	DEC	T	6	0	015625	
64	2	BIN	T	6	0	000001	
64	8	OCT	T	2	0	01	
64	16	HEX	T	2	0	04	
65	10	DEC	R	1	6	0	153846
65	2	BIN	R	0	12		000000111111
65	8	OCT	R	0	4		0077
65	16	HEX	R	0	3		03F
66	10	DEC	R	1	2	0	15
66	2	BIN	R	1	10	0	0000011111
66	8	OCT	R	1	10	0	0760370174
66	16	HEX	R	1	5	0	3E0F8
67	10	DEC	R	0	33		014925373134328358208955223880597
67	2	BIN	R	0	66		000000111101001000100110001101010111111000010110111011001110010101
67	8	OCT	R	0	22		0075104615277026731625
67	16	HEX	R	0	33		03D226357E16ECE540F4898D5F85BB395
68	10	DEC	R	2	16	01	4705882352941176
68	2	BIN	R	2	8	00	00001111
68	8	OCT	R	1	8	0	07417036
68	16	HEX	R	1	2	0	3C
69	10	DEC	R	0	22		0144927536231884057971
69	2	BIN	R	0	22		0000001110110101110011
69	8	OCT	R	0	22		0073271403553460166563
69	16	HEX	R	0	11		03B5CC0ED73
70	10	DEC	R	1	6	0	142857
70	2	BIN	R	1	12	0	000001110101
70	8	OCT	R	1	4	0	0724
70	16	HEX	R	1	3	0	3A8
71	10	DEC	R	0	35		01408450704225352112676056338028169
71	2	BIN	R	0	35		00000011100110110000101011010001001
71	8	OCT	R	0	35		00715412642201633025504403466053211
71	16	HEX	R	0	35		039B0AD12073615A240E6C2B4481CD85689
72	10	DEC	R	3	1	013	8
72	2	BIN	R	3	6	000	000111
72	8	OCT	R	1	2	0	07
72	16	HEX	R	1	3	0	38E
73	10	DEC	R	0	8		01369863
73	2	BIN	R	0	9		000000111
73	8	OCT	R	0	3		007
73	16	HEX	R	0	9		0381C0E07
74	10	DEC	R	1	3	0	135
74	2	BIN	R	1	36	0	000001101110101100111110010001010011
74	8	OCT	R	1	12	0	067263710514
74	16	HEX	R	1	9	0	3759F2298
75	10	DEC	R	2	1	01	3
75	2	BIN	R	0	20		00000011011010011101
75	8	OCT	R	0	20		00664720155164033235
75	16	HEX	R	0	5		0369D
76	10	DEC	R	2	18	01	315789473684210526
76	2	BIN	R	2	18	00	000011010111100101
76	8	OCT	R	1	6	0	065712
76	16	HEX	R	1	9	0	35E50D794
77	10	DEC	R	0	6		012987
77	2	BIN	R	0	30		000000110101001100011101111011
77	8	OCT	R	0	10		0065143573
77	16	HEX	R	0	15		03531DEC0D4C77B
78	10	DEC	R	1	6	0	128205
78	2	BIN	R	1	12	0	000001101001
78	8	OCT	R	1	4	0	0644
78	16	HEX	R	1	3	0	348
79	10	DEC	R	0	13		0126582278481
79	2	BIN	R	0	39		000000110011110110010001110100101010001
79	8	OCT	R	0	13		0063662164521
79	16	HEX	R	0	39		033D91D2A2067B23A5440CF6474A8819EC8E951
80	10	DEC	T	4	0	0125	
80	2	BIN	R	4	4	0000	0011
80	8	OCT	R	2	4	00	6314
80	16	HEX	R	1	1	0	3
81	10	DEC	R	0	9		012345679
81	2	BIN	R	0	54		000000110010100100010110000111111001101011011101001111
81	8	OCT	R	0	18		006244260771533517
81	16	HEX	R	0	27		0329161F9ADD3C0CA4587E6B74F
82	10	DEC	R	1	5	0	12195
82	2	BIN	R	1	20	0	00000110001111100111
82	8	OCT	R	1	20	0	06174701437160307634
82	16	HEX	R	1	5	0	31F38
83	10	DEC	R	0	41		01204819277108433734939759036144578313253
83	2	BIN	T	80	0	00000011000101011001011100100001111011010111111001110101001101000110111100001001	
83	8	OCT	T	80	0	00612627103665763523215702240305313441732771651506741120142545620755374724643360	
83	16	HEX	R	0	41		03159721ED7E75346F0940C565C87B5F9D4D1BC25
84	10	DEC	R	2	6	01	190476
84	2	BIN	R	2	6	00	000011
84	8	OCT	R	1	2	0	06
84	16	HEX	R	1	3	0	30C
85	10	DEC	R	1	16	0	1176470588235294
85	2	BIN	R	0	8		00000011
85	8	OCT	R	0	8		00601403
85	16	HEX	R	0	2		03
86	10	DEC	R	1	21	0	116279069767441860465
86	2	BIN	R	1	14	0	00000101111101
86	8	OCT	R	1	14	0	05750137202764
86	16	HEX	R	1	7	0	2FA0BE8
87	10	DEC	R	0	28		0114942528735632183908045977
87	2	BIN	R	0	28		0000001011110001010010011001
87	8	OCT	R	0	28		0057051144027424462013612231
87	16	HEX	R	0	7		02F1499
88	10	DEC	R	3	2	011	36
88	2	BIN	R	3	10	000	0001011101
88	8	OCT	R	1	10	0	0564272135
88	16	HEX	R	1	5	0	2E8BA
89	10	DEC	R	0	44		01123595505617977528089887640449438202247191
89	2	BIN	R	0	11		00000010111
89	8	OCT	R	0	11		00560134027
89	16	HEX	R	0	11		02E05C0B817
90	10	DEC	R	1	1	0	1
90	2	BIN	R	1	12	0	000001011011
90	8	OCT	R	1	4	0	0554
90	16	HEX	R	1	3	0	2D8
91	10	DEC	R	0	6		010989
91	2	BIN	R	0	12		000000101101
91	8	OCT	R	0	4		0055
91	16	HEX	R	0	3		02D
92	10	DEC	R	2	22	01	0869565217391304347826
92	2	BIN	R	2	11	00	00001011001
92	8	OCT	R	1	11	0	05441310262
92	16	HEX	R	1	11	0	2C8590B2164
93	10	DEC	R	0	15		010752688172043
93	2	BIN	R	0	10		0000001011
93	8	OCT	R	0	10		0054026013
93	16	HEX	R	0	5		02C0B
94	10	DEC	R	1	46	0	1063829787234042553191489361702127659574468085
94	2	BIN	R	1	23	0	00000101011100100110001
94	8	OCT	R	1	23	0	05344610127114202562304
94	16	HEX	R	1	23	0	2B9310572620AE4C415C988
95	10	DEC	R	1	18	0	105263157894736842
95	2	BIN	R	0	36		000000101011000111011010010001100001
95	8	OCT	R	0	12		005307322141
95	16	HEX	R	0	9		02B1DA461
96	10	DEC	R	5	1	01041	6
96	2	BIN	R	5	2	00000	01
96	8	OCT	R	2	2	00	52
96	16	HEX	R	2	1	02	A
97	10	DEC	T	80	0	01030927835051546391752577319587628865979381443298969072164948453608247422680412	
97	2	BIN	R	0	48		000000101010001110100000111111010101110001011111
97	8	OCT	R	0	16		0052164077256137
97	16	HEX	R	0	12		02A3A0FD5C5F
98	10	DEC	R	1	42	0	102040816326530612244897959183673469387755
98	2	BIN	R	1	21	0	000001010011100101111
98	8	OCT	R	1	7	0	0516274
98	16	HEX	R	1	21	0	29CBC14E5E0A72F053978
99	10	DEC	R	0	2		01
99	2	BIN	R	0	30		000000101001010111111010110101
99	8	OCT	R	0	10		0051277265
99	16	HEX	R	0	15		0295FAD40A57EB5
100	10	DEC	T	2	0	01	
100	2	BIN	R	2	20	00	00001010001111010111
100	8	OCT	R	1	20	0	05075341217270243656
100	16	HEX	R	1	5	0	28F5C
101	10	DEC	R	0	4		0099
101	2	BIN	T	80	0	00000010100010001101111100001100101011000101101100111111010111011100100000111100	
101	8	OCT	T	80	0	00504337031261331765671017152351140242157414530554772734407465164460121067606254	
101	16	HEX	R	0	25		0288DF0CAC5B3F5DC83CD4E93
102	10	DEC	R	1	16	0	0980392156862745
102	2	BIN	R	1	8	0	00000101
102	8	OCT	R	1	8	0	05012024
102	16	HEX	R	1	2	0	28
103	10	DEC	R	0	34		0097087378640776699029126213592233
103	2	BIN	R	0	51		000000100111110001000101100101111001110010010101001
103	8	OCT	R	0	17		00476105457162251
